cpu_fclk_min, cpu_fclk_max, cpu_fclk_cur, cpu_temp, cpu_load, ip_wired, ip_wifi, memory_usage, swap_usage
600.0, 1400.0, 1000.0, 31.096, 29.9, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 14.1, 0.0
600.0, 1400.0, 1400.0, 31.096, 14.1, 2003:ee:a71e:2200:beb9:55b3:a35b:8014, b8:27:eb:cb:e6:f6, 14.2, 0.0
600.0, 1400.0, 1400.0, 33.248, 52.2, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 30.2, 0.0
600.0, 1400.0, 1400.0, 34.324, 74.4, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 48.5, 1.3
600.0, 1400.0, 1400.0, 34.324, 42.3, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 44.1, 2.3
600.0, 1400.0, 600.0, 32.71, 7.2, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 44.1, 2.3
600.0, 1400.0, 1400.0, 33.786, 8.3, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 44.1, 2.3
600.0, 1400.0, 800.0, 32.71, 10.9, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 44.3, 2.3
600.0, 1400.0, 1400.0, 33.248, 14.3, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 45.5, 2.3
600.0, 1400.0, 800.0, 33.786, 21.7, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 49.8, 2.5
600.0, 1400.0, 600.0, 34.324, 16.9, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 49.9, 2.5
600.0, 1400.0, 600.0, 32.71, 3.9, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 46.4, 2.5
600.0, 1400.0, 1400.0, 38.628, 42.5, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 53.9, 2.5
600.0, 1400.0, 1400.0, 41.318, 76.0, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 50.7, 2.5
600.0, 1400.0, 1400.0, 39.704, 78.7, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 50.6, 2.5
600.0, 1400.0, 1400.0, 40.242, 77.4, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 51.1, 2.5
600.0, 1400.0, 1400.0, 40.78, 78.0, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 51.4, 2.5
600.0, 1400.0, 1400.0, 42.932, 77.2, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 51.4, 2.5
600.0, 1400.0, 700.0, 39.704, 55.4, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 54.7, 2.5
600.0, 1400.0, 1400.0, 37.552, 19.7, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 55.5, 2.5
600.0, 1400.0, 800.0, 37.014, 15.9, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 55.8, 2.5
600.0, 1400.0, 1400.0, 41.856, 49.9, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.7, 2.5
600.0, 1400.0, 1400.0, 42.932, 76.8, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.2, 2.5
600.0, 1400.0, 1400.0, 42.394, 82.2, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.8, 2.5
600.0, 1400.0, 1400.0, 43.47, 78.5, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.0, 2.5
600.0, 1400.0, 1400.0, 44.546, 78.9, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.5, 2.5
600.0, 1400.0, 1400.0, 44.008, 80.1, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.9, 2.5
600.0, 1400.0, 1400.0, 45.084, 78.6, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.1, 2.5
600.0, 1400.0, 1400.0, 44.008, 81.9, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.3, 2.5
600.0, 1400.0, 1400.0, 44.008, 81.6, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.9, 2.5
600.0, 1400.0, 1400.0, 44.008, 83.6, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.1, 2.5
600.0, 1400.0, 1400.0, 45.084, 81.8, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.4, 2.5
600.0, 1400.0, 1400.0, 45.622, 80.1, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.3, 2.5
600.0, 1400.0, 1400.0, 45.622, 81.8, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.4, 2.5
600.0, 1400.0, 1400.0, 44.008, 82.3, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.4, 2.5
600.0, 1400.0, 1400.0, 45.084, 81.4, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.4, 2.5
600.0, 1400.0, 1400.0, 46.16, 80.4, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.4, 2.5
600.0, 1400.0, 1400.0, 46.16, 82.1, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 61.4, 2.5
600.0, 1400.0, 1400.0, 45.622, 80.3, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.8, 2.5
600.0, 1400.0, 1400.0, 45.084, 79.1, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.7, 2.5
600.0, 1400.0, 1400.0, 46.16, 77.4, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.8, 2.5
600.0, 1400.0, 1400.0, 46.16, 79.3, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.6, 2.5
600.0, 1400.0, 1400.0, 46.16, 80.5, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.8, 2.5
600.0, 1400.0, 1400.0, 46.698, 82.7, 192.168.0.34, fe80::1534:f496:bb3d:30bc%wlan0, 60.6, 2.5
